id,type,file
CKV_K8S_1,ShareHostPIDPSP,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ShareHostPIDPSP.py
CKV_K8S_2,PrivilegedContainersPSP,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/PrivilegedContainersPSP.py
CKV_K8S_3,ShareHostIPCPSP,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ShareHostIPCPSP.py
CKV_K8S_4,SharedHostNetworkNamespacePSP,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/SharedHostNetworkNamespacePSP.py
CKV_K8S_5,AllowPrivilegeEscalationPSP,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/AllowPrivilegeEscalationPSP.py
CKV_K8S_6,RootContainersPSP,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/RootContainersPSP.py
CKV_K8S_7,DropCapabilitiesPSP,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/DropCapabilitiesPSP.py
CKV_K8S_8,LivenessProbe,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/LivenessProbe.py
CKV_K8S_9,ReadinessProbe,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ReadinessProbe.py
CKV_K8S_10,CPURequests,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/CPURequests.py
CKV_K8S_11,CPULimits,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/CPULimits.py
CKV_K8S_12,MemoryRequests,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/MemoryRequests.py
CKV_K8S_13,MemoryLimits,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/MemoryLimits.py
CKV_K8S_14,ImageTagFixed,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ImageTagFixed.py
CKV_K8S_15,ImagePullPolicyAlways,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ImagePullPolicyAlways.py
CKV_K8S_16,PrivilegedContainers,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/PrivilegedContainers.py
CKV_K8S_17,ShareHostPID,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ShareHostPID.py
CKV_K8S_18,ShareHostIPC,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ShareHostIPC.py
CKV_K8S_19,SharedHostNetworkNamespace,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/SharedHostNetworkNamespace.py
CKV_K8S_20,AllowPrivilegeEscalation,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/AllowPrivilegeEscalation.py
CKV_K8S_21,DefaultNamespace,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/DefaultNamespace.py
CKV_K8S_22,ReadOnlyFilesystem,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/ReadOnlyFilesystem.py
CKV_K8S_23,RootContainers,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/RootContainers.py
CKV_K8S_24,AllowedCapabilitiesPSP,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/AllowedCapabilitiesPSP.py
CKV_K8S_25,AllowedCapabilities,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/AllowedCapabilities.py
CKV_K8S_26,HostPort,LLM4Config/rules/Checkov/kubernetes/checks/resource/k8s/HostPort.py
